CONF,DESCRIPTION
 A10 , Atlantic 10
 ACC , Atlantic Coast Conference
 AE , America East
 Amer , American
 ASun , ASUN
 B10 , Big Ten
 B12 , Big 12
 BE , Big East
 BSky , Big Sky
 BSth , Big South
 BW , Big West
 CAA , Colonial Athletic Association
 CUSA , Conference USA
 Horz , Horizon League
 Ivy , Ivy League
 MAAC , Metro Atlantic Athletic Conference
 MAC , Mid-American Conference
 MEAC , Mid-Eastern Athletic Conference
 MVC , Missouri Valley Conference
 MWC , Mountain West
 NEC , Northeast Conference
 OVC , Ohio Valley Conference
 P12 , Pac-12
 Pat , Patriot League
 SB , Sun Belt
 SC , Southern Conference
 SEC , South Eastern Conference
 Slnd , Southland Conference
 Sum , Summit League
 SWAC , Southwestern Athletic Conference
 WAC , Western Athletic Conference
 WCC , West Coast Conference
